ranking,book_name,author_name,avg_rating,no_ratings,votes,decade,hugo_won,nebula_won,score,
1,Dune (Dune Chronicles #1),Frank Herbert,4.18,480771,844,1960-69,1,1,83000,82961
2,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,4.29,800066,797,1980-89,1,1,78427,
3,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.2,948178,681,1970-79,0,0,66483,
4,1984,George Orwell,4.12,1874015,581,1940-49,0,0,56570,
5,Fahrenheit 451,Ray Bradbury,3.96,1073695,446,1950-59,1,0,42584,
6,"Foundation (Foundation, #1)",Isaac Asimov,4.1,268416,410,1950-59,0,0,39556,
7,Brave New World,Aldous Huxley,3.95,979450,361,1930-39,0,0,34396,
8,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,4.2,117748,313,1980-89,1,0,30065,
9,Do Androids Dream of Electric Sheep?,Philip K. Dick,4.07,219560,301,1960-69,0,0,28460,
10,"I, Robot (Robot, #0.1)",Isaac Asimov,4.16,190805,269,1950-59,0,0,25646,
11,Stranger in a Strange Land,Robert A. Heinlein,3.9,214764,268,1960-69,1,0,25438,
12,"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,4.1,163660,270,1960-69,0,0,25278,
13,Slaughterhouse-Five,Kurt Vonnegut,4.04,821479,250,1960-69,0,0,23468,
14,"The Foundation Trilogy (Foundation, #1-3)",Isaac Asimov,4.38,70186,245,1940-49,0,0,23102,
15,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.35,4458917,217,2000-09,0,0,20458,
16,The Martian Chronicles,Ray Bradbury,4.11,140834,222,1950-59,0,0,20381,
17,Childhood's End,Arthur C. Clarke,4.08,87101,220,1950-59,0,0,20268,
18,"Neuromancer (Sprawl, #1)",William Gibson,3.87,187738,213,1980-89,1,1,19680,
19,"The Forever War (The Forever War, #1)",Joe Haldeman,4.14,91896,202,1970-79,1,1,18748,
20,Frankenstein,Mary Shelley,3.74,814140,193,Before 1930s,0,0,17790,
21,The War of the Worlds,H.G. Wells,3.79,164163,190,Before 1930s,0,0,17466,
22,The Time Machine,H.G. Wells,3.86,275348,187,Before 1930s,0,0,16970,
23,Snow Crash,Neal Stephenson,4.02,172882,179,1990-99,0,0,16478,
24,Starship Troopers,Robert A. Heinlein,3.99,132586,178,1950-59,1,0,16281,
25,"Rendezvous with Rama (Rama, #1)",Arthur C. Clarke,4.05,94253,176,1970-79,1,1,15824,
26,"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,4.03,170393,171,1980-89,1,1,15741,
27,The Left Hand of Darkness,Ursula K. Le Guin,4.05,63198,171,1960-69,1,1,15659,
28,A Canticle for Leibowitz,Walter M. Miller Jr.,3.97,65608,167,1950-59,1,0,15475,
29,Ready Player One,Ernest Cline,4.31,326539,163,2010-19,0,0,15088,
30,A Clockwork Orange,Anthony Burgess,3.97,427610,163,1960-69,0,0,15082,
31,The Moon is a Harsh Mistress,Robert A. Heinlein,4.17,79320,166,1960-69,1,0,15029,
32,Flowers for Algernon,Daniel Keyes,4.04,299187,165,1950-59,0,1,14822,
33,Jurassic Park,Michael Crichton,3.94,606242,160,1990-99,0,0,14618,
34,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,4.04,590121,154,1960-69,0,0,14310,
35,The Handmaid's Tale,Margaret Atwood,4.01,510205,151,1980-89,0,0,13924,
36,"Old Man's War (Old Man's War, #1)",John Scalzi,4.22,95427,141,2000-09,0,0,12869,
37,Ringworld (Ringworld #1),Larry Niven,3.96,75497,142,1970-79,1,1,12741,
38,The Martian,Andy Weir,4.39,436647,127,2010-19,0,0,11464,
39,Contact,Carl Sagan,4.09,87852,120,1980-89,0,0,10708,
40,The Dispossessed,Ursula K. Le Guin,4.17,46399,119,1970-79,1,1,10631,
41,"Ender's Shadow (Ender's Shadow, #1)",Orson Scott Card,4.3,116907,115,1990-99,0,0,10504,
42,The Stars My Destination,Alfred Bester,4.13,30327,112,1950-59,0,0,10261,
43,I Am Legend,Richard Matheson,4.06,51212,113,1950-59,0,0,10208,
44,Ubik,Philip K. Dick,4.1,51499,109,1960-69,0,0,9890,
45,The Stand,Stephen King,4.33,431317,110,1970-79,0,0,9800,
46,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1-5),Douglas Adams,4.37,226545,109,1990-99,0,0,9737,
47,"Foundation and Empire (Foundation, #2)",Isaac Asimov,4.2,107373,113,1950-59,0,0,9709,
48,The Road,Cormac McCarthy,3.95,522291,105,2000-09,0,0,9362,
49,The Mote in God's Eye,Larry Niven,4.06,49007,106,1970-79,0,0,9289,
50,The Fall of Hyperion (Hyperion Cantos #2),Dan Simmons,4.16,61278,102,1990-99,0,0,9236,
51,Solaris,Stanis_aw Lem,3.96,43492,102,1960-69,0,0,9185,
52,The Man in the High Castle,Philip K. Dick,3.7,84420,99,1960-69,1,0,8638,
53,Animal Farm,George Orwell,3.85,1835233,102,1940-49,0,0,8625,
54,"Second Foundation (Foundation, #3)",Isaac Asimov,4.22,98009,101,1950-59,0,0,8469,
55,"Red Mars (Mars Trilogy, #1)",Kim Stanley Robinson,3.83,44655,99,1990-99,0,1,8453,
56,"The Diamond Age: or, A Young Lady's Illustrated Primer",Neal Stephenson,4.19,61483,90,1990-99,1,0,7934,
57,"The Caves of Steel (Robot, #1)",Isaac Asimov,4.13,52525,93,1950-59,0,0,7885,
58,"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,4.21,155370,94,1980-89,0,0,7714,
59,Cat's Cradle,Kurt Vonnegut,4.18,253525,88,1960-69,0,0,7546,
60,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.78,228801,87,Before 1930s,0,0,7513,
61,The Illustrated Man,Ray Bradbury,4.13,52646,86,1950-59,0,0,7287,
62,"Wool Omnibus (Silo, #1)",Hugh Howey,4.24,108287,81,2010-19,0,0,7273,
62,"A Fire Upon the Deep (Zones of Thought, #1)",Vernor Vinge,4.13,36777,85,1990-99,1,0,7273,
64,"Journey to the Center of the Earth (Extraordinary Voyages, #3)",Jules Verne,3.83,101208,82,Before 1930s,0,0,7150,
65,"Gateway (Heechee Saga, #1)",Frederik Pohl,4.07,29203,82,1970-79,1,1,7049,
67,"The Player of Games (Culture, #2)",Iain M. Banks,4.26,39110,81,1980-89,0,0,6931,
68,Anathem,Neal Stephenson,4.18,45534,76,2000-09,0,0,6817,
69,Never Let Me Go,Kazuo Ishiguro,3.79,294807,72,2000-09,0,0,6591,
70,Revelation Space,Alastair Reynolds,3.96,30303,72,2000-09,0,0,6500,
71,The Andromeda Strain,Michael Crichton,3.86,165861,76,1960-69,0,0,6468,
72,The Day of the Triffids,John Wyndham,3.99,60662,74,1950-59,0,0,6166,
73,The Gods Themselves,Isaac Asimov,4.07,35285,72,1970-79,1,1,5958,
74,A Scanner Darkly,Philip K. Dick,4.04,57258,67,1970-79,0,0,5704,
75,Doomsday Book (Oxford Time Travel #1),Connie Willis,4.03,33132,66,1990-99,1,1,5565,
76,"Altered Carbon (Takeshi Kovacs, #1)",Richard K. Morgan,4.1,42274,64,2000-09,0,0,5450,
77,"Use of Weapons (Culture, #4)",Iain M. Banks,4.18,26198,63,1990-99,0,0,5353,
78,The Lathe of Heaven,Ursula K. Le Guin,4.09,30565,65,1970-79,0,0,5334,
79,"A Princess of Mars (Barsoom, #1)",Edgar Rice Burroughs,3.79,40137,63,Before 1930s,0,0,5215,
80,"Foundation's Edge (Foundation, #4)",Isaac Asimov,4.06,46801,67,1980-89,1,0,5156,
81,The End of Eternity,Isaac Asimov,4.19,27657,60,1950-59,0,0,5097,
82,Pandora's Star,Peter F. Hamilton,4.23,29385,54,2000-09,0,0,4812,
83,"The Sparrow (The Sparrow, #1)",Mary Doria Russell,4.17,39840,51,1990-99,0,0,4694,
84,The City and the Stars,Arthur C. Clarke,4.07,18565,55,1950-59,0,0,4608,
85,Lord of Light,Roger Zelazny,4.1,20418,53,1960-69,1,0,4575,
86,"The Host (The Host, #1)",Stephenie Meyer,3.84,745464,48,2010-19,0,0,4414,
87,The Island of Dr. Moreau,H.G. Wells,3.71,65503,54,Before 1930s,0,0,4274,
88,The Windup Girl,Paolo Bacigalupi,3.74,46067,51,2000-09,1,1,4232,
89,"The Robots of Dawn (Robot, #3)",Isaac Asimov,4.11,26747,52,1980-89,0,0,4197,
90,"The Giver (The Giver, #1)",Lois Lowry,4.12,1288770,47,1990-99,0,0,4183,
92,The Invisible Man,H.G. Wells,3.61,84907,54,Before 1930s,0,0,4117,
93,The Great Dune Trilogy,Frank Herbert,4.35,49118,48,1970-79,0,0,4096,
94,"Leviathan Wakes (Expanse, #1)",James S.A. Corey,4.15,61638,45,2010-19,0,0,4014,
95,"On Basilisk Station (Honor Harrington, #1)",David Weber,4.11,30429,46,1990-99,0,0,3890,
96,"A Deepness in the Sky (Zones of Thought, #2)",Vernor Vinge,4.31,21588,43,1990-99,1,0,3772,
97,We,Yevgeny Zamyatin,3.96,42856,44,Before 1930s,0,0,3686,
98,The Demolished Man,Alfred Bester,3.99,20689,47,1950-59,1,0,3652,
99,Earth Abides,George R. Stewart,3.96,17738,41,1940-49,0,0,3547,
100,Timeline,Michael Crichton,3.82,147966,41,1990-99,0,0,3494,
